"","age","Mspline_tlcoSI_Male","Mspline_tlcoSI_Female","Mspline_kcoSI_Male","Mspline_kcoSI_Female","Mspline_vaSI_Male","Mspline_vaSI_Female","Mspline_tlcoTr_Male","Mspline_tlcoTr_Female","Mspline_kcoTr_Male","Mspline_kcoTr_Female"
"153",43,0.0465338859031004,0.0319500758164759,0.020927956230524,0.00372060526849927,0.0287464102280435,0.0335020293985338,0.0465338857146138,0.03195007631924,0.0209279450418993,0.00372060479137559
"154",43.25,0.0451123254276098,0.0310501067401043,0.0202445076180391,0.00354152086908277,0.0280429694853819,0.0327600467599538,0.0451123252349719,0.0310501072421889,0.0202444965285338,0.00354152038826427
"155",43.5,0.0436917879480543,0.0301444787966343,0.0195619196696093,0.00336375110174103,0.0273392627289866,0.0320092174542275,0.0436917877510599,0.0301444792980545,0.0195619086807661,0.00336375061783301
"156",43.75,0.0422723541716614,0.0292334029576127,0.0188801745410303,0.00318731861171528,0.0266354024964439,0.031249680512655,0.0422723539701284,0.0292334034583766,0.0188801636543978,0.00318731812530881
"157",44,0.0408539195445972,0.02831708992694,0.0181991750544519,0.00301224486938212,0.0259313786968853,0.0304815762773405,0.0408539193383728,0.0283170904270493,0.0181991642715951,0.00301224438105407
"158",44.25,0.0394362898250744,0.0273957446504332,0.0175187864620781,0.00283855034819691,0.0252271209664094,0.029705042424931,0.0394362896140397,0.0273957451498905,0.0175187757845805,0.00283854985851129
"159",44.5,0.038019276593479,0.0264695664893129,0.0168388781845943,0.00266625456065039,0.0245225609798005,0.0289202140303058,0.0380192763775478,0.0264695669881121,0.016838867614057,0.00266625407015653
"160",44.75,0.0366026978261758,0.0255387493854986,0.016159324010347,0.00249537609227124,0.0238176328801316,0.0281272236268446,0.0366026976052982,0.0255387498836317,0.0161593135483864,0.00249537560150515
"161",45,0.035186377685374,0.0246034820215808,0.0154800019522492,0.00232593263437852,0.0231122731965439,0.0273262012654101,0.0351863774595271,0.0246034825190344,0.0154799916004991,0.00232593214386423
"162",45.25,0.0337701463173978,0.0236639479763845,0.0148007941114034,0.00215794101596112,0.0224064207641899,0.0265172745721181,0.0337701460865922,0.0236639484731445,0.0148007838715127,0.00215794052620932
